nombre_campania;usuario;valor_donado;fecha_donativo;comentario
Ayuda para cuidar a Ricardo;Fixflex;78;2023-07-16;"""En medio de la adversidad, has demostrado ser un faro de esperanza, Nico. Tu mamá tiene un ángel guardián en ti."""
Ayuda para cuidar a Ricardo;Fixflex;69;2023-08-23;"""Nico, tu amor y cuidado son un regalo inmenso para tu mamá. Sigue siendo su fuente de fuerza y esperanza."""
Mundial Abu Dhabi AJP;Fixflex;50;2023-07-20;"""Tus compañeros de equipo y tu comunidad de Jiu Jitsu están orgullosos de ti, Nekae. Tu viaje al Mundial es un logro extraordinario en sí mismo."""
Recolecta de material sanitario;Flexidy;120;2023-08-14;"""En la unidad encontramos la fuerza para superar desafíos. Juntos, podemos hacer que la atención médica sea más accesible en África."""
Todos por Eneko;Flexidy;17;2023-07-10;"""No estás solo, Eneko. Tienes a amigos y seres queridos que te aman y te respaldan incondicionalmente mientras enfrentas el linfoma de Burkitt."""
Todos por Eneko;Flexidy;21;2023-07-18;"""La comunidad está aquí para ti, Eneko. Juntos, podemos superar este desafío y asegurarnos de que tu camino hacia la salud sea lo más suave posible."""
A Pikachu;Flowdesk;30;2023-08-21;"""Pikachu, eres un gatito valiente y fuerte. ¡Estamos seguros de que superarás esta cirugía con éxito! Te enviamos mucho cariño y buenos deseos para una recuperación rápida. 🌟❤️"""
Mundial Abu Dhabi AJP;Flowdesk;55;2023-08-20;"""Cada día que te acercas al Mundial en Abu Dhabi es un día más cerca de tu sueño hecho realidad. ¡Ve y haz que valga la pena, Nekae!"""
Ascenso a Nacional Ok Bronce;Gembucket;92;2023-08-16;"""El Nacional Ok Bronce es un nuevo desafío, pero ustedes están preparados para enfrentarlo con fuerza y coraje. ¡Adelante, Traviesas Hockey Club!"""
A Pikachu;Greenlam;69;2023-08-26;"""Querido Pikachu, te enviamos un montón de abrazos virtuales y buenos deseos para tu recuperación. Esperamos verte muy pronto explorando tu mundo con alegría y vitalidad. ¡Ánimo! 💖❤️"""
Ayuda para cuidar a Ricardo;Hatity;90;2023-07-29;"""Tu mamá tiene un tesoro en ti, Nico. Tu amor y compromiso son un regalo que ilumina su camino."""
Ascenso a Nacional Ok Bronce;Holdlamis;10;2023-08-18;"""Cuando juegan juntos como un equipo, son imparables. ¡Lleven esa camaradería al Nacional Ok Bronce y triunfen!"""
Recolecta de material sanitario;Holdlamis;61;2023-08-12;"""La salud no tiene fronteras. Apoyemos esta causa noble y contribuyamos a mejorar la atención médica en África."""
Mundial Abu Dhabi AJP;Home Ing;57;2023-07-11;"""Nekae, cada día de entrenamiento te hace más fuerte y más hábil. Tu preparación te llevará lejos en el Mundial. ¡Sigue trabajando duro!"""
Ascenso a Nacional Ok Bronce;It;40;2023-08-29;"""No importa qué desafíos se presenten, ustedes tienen el espíritu de campeones. ¡Confiamos en que brillarán en el Nacional Ok Bronce!"""
Ayudemos a que Madou pueda estudiar en Canadá;It;97;2023-08-23;"""Madou, la perseverancia es una cualidad admirable. Tu deseo de estudiar en Canadá es un testimonio de tu dedicación. ¡No dejes que nada te detenga en este viaje educativo!"""
Ascenso a Nacional Ok Bronce;Job;95;2023-07-23;"""El ascenso al Nacional Ok Bronce es un logro merecido. ¡Sigan luchando con pasión y orgullo, chicos!"""
AYUDAME A AYUDARLA;Job;34;2023-07-30;"""Cada día que pasa es un día más cerca de la recuperación de tu perrita. Mantén la esperanza y el amor. 🐾❤️"""
Ayúdanos a salvar a REY;Job;13;2023-07-27;"""Tú eres un verdadero guerrero, Rey. Tu determinación y coraje son un ejemplo para todos nosotros. Mantente fuerte y sigue luchando. 🦸‍♂️❤️"""
Ayudemos a que Madou pueda estudiar en Canadá;Job;43;2023-08-03;"""Madou, recuerda que la educación es una inversión en tu futuro. Con esfuerzo y determinación, encontrarás formas creativas de superar las barreras financieras."""
Ayuda a Nico para realizar el circuito Mundial WSL;Kanlam;50;2023-07-09;"""Nico, cada ola es una oportunidad para mostrar tu talento y tu amor por el surf. ¡Vuela alto en el WSL!"""
Ayuda para cuidar a Ricardo;Kanlam;30;2023-07-06;"""En la adversidad, los héroes emergen, y tú, Nico, eres un verdadero héroe. Tu mamá debe estar muy orgullosa de ti."""
Mundial Abu Dhabi AJP;Kanlam;70;2023-08-07;"""Nekae, el Jiu Jitsu es tu arte y el Mundial en Abu Dhabi es tu lienzo. Pinta tu camino hacia el éxito con tus habilidades y determinación."""
Ascenso a Nacional Ok Bronce;Keylex;17;2023-08-28;"""La pasión por el hockey los ha traído hasta aquí. ¡Lleven esa pasión al Nacional Ok Bronce y dejen una huella imborrable!"""
Todos por Eneko;Keylex;5000;2023-08-17;"""Tu familia y amigos están increíblemente orgullosos de la valentía que estás mostrando en tu lucha contra el linfoma de Burkitt, Eneko."""
Worth a Haven Primary School;Keylex;69;2023-08-08;"""Vi el video de tu proyecto y quedé impresionado por tu trabajo arduo y dedicación. Tu compromiso con la educación es inspirador, Leyre."""
Ayúdanos a salvar a REY;Konklab;55;2023-07-15;"""Rey, tu valentía y fortaleza son verdaderamente inspiradoras. No importa cuán desafiante sea el camino, estamos aquí para apoyarte en cada paso que des. 💪🌟"""
AYUDAME A AYUDARLA;Konklux;47;2023-07-06;"""En cada momento de incertidumbre, recuerda que estamos aquí para ti. No estás sola en esta batalla. 🐕❤️"""
Ayuda a Luna, mi hija perruna, con su glaucoma;Latlux;62;2023-08-23;"""Los ojos pueden perder la vista, pero nunca perderán el amor y la conexión que compartes con tu familia. Eres especial, Luna."""
Ayuda a Nico para realizar el circuito Mundial WSL;Latlux;2000;2023-07-07;"""El WSL es tu escenario para brillar, Nico. ¡Estamos emocionados de verte deslizarte sobre esas olas y conquistar nuevos horizontes!"""
Ayuda a Nico para realizar el circuito Mundial WSL;Latlux;80;2023-08-22;"""Las olas del WSL te desafiarán, pero tu determinación es inquebrantable. ¡Eres un verdadero guerrero del surf, Nico!"""
Mundial Abu Dhabi AJP;Latlux;63;2023-07-13;"""La mentalidad de un campeón es la que tienes, Nekae. Tienes todo lo necesario para tener éxito en el Mundial de Jiu Jitsu."""
Recolecta de material sanitario;Latlux;3000;2023-08-24;"""La generosidad es el puente que conecta a las personas de todo el mundo. Ayudemos a construir un futuro más saludable para África a través de esta recolección."""
Todos por Eneko;Latlux;43;2023-07-17;"""Eneko, tu valentía es un ejemplo para todos nosotros. Sigues demostrando que la adversidad puede ser superada con amor y determinación."""
Worth a Haven Primary School;Latlux;24;2023-08-05;"""La educación es un camino hacia el empoderamiento y el progreso. Gracias por ser un agente de cambio en tu comunidad, Leyre."""
Worth a Haven Primary School;Latlux;67;2023-08-28;"""Leyre, tu proyecto es un faro de esperanza en tu comunidad. Estamos emocionados de ser parte de este viaje hacia una educación más sólida."""
Ascenso a Nacional Ok Bronce;Lotstring;35;2023-08-13;"""En cada partido, ustedes demuestran su pasión por el hockey. ¡Sigan así y conquisten el Nacional Ok Bronce!"""
AYUDAME A AYUDARLA;Lotstring;96;2023-08-23;"""En los días oscuros, tu amor brilla como una luz que guía a tu perrita hacia la recuperación. Mantén la esperanza y el corazón abierto. 🌟❤️"""
Ayúdanos a salvar a REY;Lotstring;16;2023-08-03;"""Tu fuerza para enfrentar la adversidad es asombrosa, Rey. Cada día es una victoria en tu camino hacia la salud. ¡Sigue adelante con determinación! 🌞💪"""
Recolecta de material sanitario;Lotstring;40;2023-08-24;"""África merece una atención médica digna. Únete a esta causa y contribuye a la mejora de la salud en el continente."""
Todos por Eneko;Lotstring;49;2023-07-21;"""La fuerza interior que estás demostrando es inspiradora, Eneko. Tu actitud positiva es un factor poderoso en tu recuperación."""
Todos por Eneko;Lotstring;33;2023-08-29;"""Eneko, tu coraje y resistencia en esta lucha son admirables. Sigue luchando, sigue creyendo y sigue sanando. Estamos a tu lado en cada paso del camino."""
Ayuda a Nico para realizar el circuito Mundial WSL;Mat Lam Tam;97;2023-08-19;"""Nico, tu presencia en el WSL es una inspiración para todos los amantes del surf. ¡Sigue surfeando y dejando huella!"""
Recolecta de material sanitario;Mat Lam Tam;83;2023-08-17;"""Tu donación de material médico puede ser un rayo de esperanza para quienes luchan por su salud en África. ¡Hagamos que brille!"""
A Pikachu;Matsoft;73;2023-08-27;"""Pikachu, tu valentía nos inspira a todos. Te deseamos una pronta y completa recuperación. Que pronto estés de nuevo en casa, disfrutando de los mimos y las travesuras. ¡Cuídate mucho! 🐱❤️"""
Ayuda a Luna, mi hija perruna, con su glaucoma;Matsoft;39;2023-08-13;"""Cada día contigo es un regalo, Luna. Estamos aquí para asegurarnos de que te sientas amada y cuidada mientras enfrentas el glaucoma."""
Recolecta de material sanitario;Matsoft;7;2023-08-16;"""La solidaridad no conoce límites geográficos. Hagamos que esta iniciativa de recolección llegue lejos y haga una diferencia real en África."""
Ayuda para niños y adultos con TDAH;Namfix;72;2023-08-29;"""La perseverancia es tu aliada en este viaje. Siéntete orgulloso de cada logro, grande o pequeño, porque cada paso te lleva más cerca de tus metas. ¡No te rindas, tú puedes!"""
AYUDAME A AYUDARLA;Namfix;59;2023-07-24;"""Tú y tu perrita están atravesando un camino difícil, pero juntos son capaces de superar cualquier adversidad. ¡Estamos aquí para apoyarlos en cada paso!"""
Recolecta de material sanitario;Namfix;51;2023-08-07;"""Tu donación puede cambiar vidas. Hagamos que esta recolección sea un acto de esperanza y compasión para las personas en África."""
Una oportunidad de vida;Namfix;84;2023-08-19;"""Cada día es una oportunidad para encontrar la luz en medio de la oscuridad. Mantén la fe, Marisol, y continúa avanzando hacia un futuro más brillante."""
Ascenso a Nacional Ok Bronce;Opela;69;2023-08-26;"""Cada paso que dan es un paso más cerca del éxito en el Nacional Ok Bronce. ¡Mantengan el enfoque y la determinación!"""
Ayuda para cuidar a Ricardo;Opela;22;2023-07-31;"""Nico, no importa lo desafiante que sea esta situación, siempre tienes el amor y el apoyo de quienes te rodean. ¡Estamos contigo!"""
Worth a Haven Primary School;Opela;16;2023-07-13;"""Leyre, tu pasión por la enseñanza y la construcción de aulas es admirable. Juntos, podemos hacer posible un entorno educativo más adecuado."""
Ascenso a Nacional Ok Bronce;Otcom;5;2023-07-07;"""¡Vamos Traviesas Hockey Club! Con determinación y trabajo en equipo, alcanzarán nuevas alturas en el Nacional Ok Bronce. ¡Creemos en ustedes!"""
Ayuda a Nico para realizar el circuito Mundial WSL;Otcom;1253;2023-08-01;"""Nico, en el WSL, eres un auténtico maestro del surf. ¡Haz que cada ola cuente!"""
Mundial Abu Dhabi AJP;Otcom;92;2023-07-09;"""Recuerda que tu comunidad de Jiu Jitsu te respalda al cien por ciento. Juntos, formamos un equipo invencible. ¡Adelante, campeón!"""
Mundial Abu Dhabi AJP;Otcom;62;2023-08-06;"""Cada día de entrenamiento es un paso más cerca de tu sueño en el Mundial de Jiu Jitsu. Continúa esforzándote, Nekae. ¡Estamos contigo!"""
Ayúdanos a salvar a REY;Overhold;38;2023-08-13;"""Rey, tu sonrisa ilumina el mundo, incluso en los momentos más oscuros. Tu alegría es un regalo para todos nosotros. 🌟❤️"""
Ayuda para cuidar a Ricardo;Pannier;73;2023-08-15;"""Nico, tu cuidado y amor hacia tu mamá son un ejemplo para todos nosotros. Tu fortaleza en este momento es verdaderamente conmovedora."""
AYUDAME A AYUDARLA;Pannier;68;2023-07-06;"""Tu lucha es un recordatorio constante de cuán fuertes y resilientes pueden ser nuestros amigos de cuatro patas. ¡Eres un verdadero guerrero, perrita!"""
Ayuda para cuidar a Ricardo;Prodder;56;2023-08-20;"""Nico, el mundo necesita más personas como tú, que están dispuestas a darlo todo por sus seres queridos. Eres un verdadero héroe."""
AYUDAME A AYUDARLA;Prodder;16;2023-07-04;"""Sabemos que estás pasando por momentos difíciles, pero queremos que sepas cuánto te amamos. Juntos superaremos este desafío. 🐶💖"""
AYUDAME A AYUDARLA;Prodder;90;2023-07-28;"""La vida nos presenta desafíos, pero también nos muestra cuán increíblemente fuerte puede ser el lazo entre humanos y mascotas. ¡Estamos contigo!"""
Mundial Abu Dhabi AJP;Prodder;74;2023-07-03;"""Nekae, tu dedicación y pasión por el Jiu Jitsu son admirables. Estamos emocionados por tu viaje al Mundial en Abu Dhabi. ¡Vas a brillar!"""
Todos por Eneko;Prodder;57;2023-08-19;"""Eneko, aunque la batalla es dura, tu espíritu es aún más fuerte. Estamos seguros de que superarás este desafío y recuperarás tu salud."""
Worth a Haven Primary School;Prodder;12;2023-07-09;"""La educación es un puente hacia un futuro mejor. Gracias por ser un faro de esperanza en tu comunidad, Leyre."""
Worth a Haven Primary School;Prodder;5;2023-07-13;"""Cada niño merece una educación de calidad. Estamos orgullosos de apoyar tu esfuerzo por hacer realidad este sueño, Leyre."""
Mundial Abu Dhabi AJP;Quo Lux;12;2023-07-25;"""Nekae, tus habilidades en el Jiu Jitsu son impresionantes. El Mundial es tu oportunidad para demostrar tu destreza y pasión por este deporte."""
Recolecta de material sanitario;Quo Lux;1200;2023-07-07;"""Juntos podemos marcar un impacto positivo en la atención médica en África. Contribuye a esta noble causa y ayudemos a salvar vidas."""
AYUDAME A AYUDARLA;Redhold;68;2023-07-12;"""Querida amiga de cuatro patas, cada día es un nuevo paso hacia la recuperación. Tu valentía es verdaderamente inspiradora. 🐾💖"""
AYUDAME A AYUDARLA;Redhold;37;2023-08-25;"""Nunca subestimes el poder del amor de un dueño dedicado. Con tu amor y apoyo, tu perrita tiene todo lo que necesita para superar estas enfermedades. 🐾❤️"""
Ayuda a Luna, mi hija perruna, con su glaucoma;Regrant;77;2023-07-19;"""Luna, tu valentía y fortaleza son inspiradoras. Estamos aquí para ti mientras enfrentas el glaucoma. ¡Eres una luchadora!"""
Ayuda a Luna, mi hija perruna, con su glaucoma;Regrant;40;2023-08-04;"""Luna, tus ojos pueden enfrentar obstáculos, pero tu espíritu es inquebrantable. ¡Sigue adelante con valentía!"""
Ayuda a Nico para realizar el circuito Mundial WSL;Ronstring;93;2023-07-03;"""Nico, tus olas están llenas de pasión y determinación. ¡Sigue surfeando con todo tu corazón en el WSL!"""
Una oportunidad de vida;Ronstring;17;2023-07-25;"""Marisol, tu valentía al enfrentar el cáncer y emigrar a España es inspiradora. Estamos aquí para apoyarte en cada paso de este viaje."""
Mundial Abu Dhabi AJP;Solarbreeze;39;2023-07-14;"""Las medallas del Mundial en Abu Dhabi te están esperando, Nekae. Estás destinado a grandes logros en el Jiu Jitsu. ¡A por ellas!"""
Recolecta de material sanitario;Solarbreeze;45;2023-07-22;"""Nuestra comunidad puede marcar la diferencia. Juntos, podemos ayudar a mejorar la atención médica en África a través de esta recolección."""
Ascenso a Nacional Ok Bronce;Sonair;72;2023-08-30;"""Nada es imposible cuando trabajan juntos con pasión y dedicación. ¡El Nacional Ok Bronce es su oportunidad para brillar!"""
Ascenso a Nacional Ok Bronce;Sonsing;41;2023-08-10;"""No hay límites para lo que pueden lograr. ¡El Nacional Ok Bronce es solo el comienzo de una emocionante travesía!"""
Ayuda para cuidar a Ricardo;Sonsing;30;2023-08-12;"""Nico, eres un faro de esperanza y un ejemplo de amor filial. Tu mamá está en buenas manos."""
Ayúdanos a salvar a REY;Sonsing;66;2023-07-28;"""La vida puede presentarnos obstáculos, pero tu espíritu inquebrantable y tu sonrisa son un recordatorio constante de la belleza de la vida. 🌈🌻"""
Ayuda para niños y adultos con TDAH;Span;22;2023-08-17;"""Recuerda que tus diferencias son lo que te hace especial. El TDAH puede ser un superpoder cuando aprendes a canalizarlo de manera positiva. ¡Tienes todo el tiempo para brillar!"""
Ayuda a Luna, mi hija perruna, con su glaucoma;Stim;30;2023-08-26;"""Luna, no importa lo que enfrentes, siempre serás nuestra perrita valiente y amada. Tu determinación nos inspira todos los días."""
Mundial Abu Dhabi AJP;Stim;100;2023-07-18;"""La confianza en ti mismo es la clave del éxito, Nekae. Cree en tus habilidades y en tu entrenamiento. ¡Estamos emocionados por verte competir!"""
Ascenso a Nacional Ok Bronce;Stringtough;49;2023-08-12;"""En el campo de juego, son invencibles. ¡Lleven esa energía al Nacional Ok Bronce y hagan historia!"""
A Pikachu;Stronghold;90;2023-07-27;"""Pikachu, estamos enviándote un montón de energía positiva y amor mientras te recuperas de tu cirugía. ¡Esperamos verte muy pronto jugando y saltando como siempre! 💪❤️"""
AYUDAME A AYUDARLA;Stronghold;76;2023-08-14;"""Las enfermedades pueden ser un desafío, pero el amor y el cuidado que ofreces a tu perrita son un bálsamo para su alma. ¡Sigue siendo su héroe!"""
Ayuda a Nico para realizar el circuito Mundial WSL;Sub-Ex;48;2023-07-15;"""En el WSL, las olas son tus compañeras de baile. ¡Danza con ellas y muestra tu estilo único, Nico!"""
Mundial Abu Dhabi AJP;Sub-Ex;48;2023-07-17;"""Nekae, el Jiu Jitsu es tu pasión y tu vocación. Ve al Mundial en Abu Dhabi y disfruta cada momento de esta experiencia única."""
Ayuda a Luna, mi hija perruna, con su glaucoma;Subin;42;2023-08-14;"""Luna, a pesar de cualquier obstáculo, tu luz brilla con fuerza. Te apoyamos en cada paso de tu viaje contra el glaucoma."""
Ayuda para cuidar a Ricardo;Tampflex;21;2023-08-25;"""Nico, en tiempos difíciles, siempre encuentras la fortaleza para cuidar y amar a tu mamá. Eres un modelo a seguir para todos nosotros."""
Mundial Abu Dhabi AJP;Temp;16;2023-07-17;"""Cada gota de sudor que has derramado en el tatami te ha preparado para este momento. El Mundial es tu escenario, Nekae. ¡Brilla!"""
AYUDAME A AYUDARLA;Tempsoft;64;2023-08-12;"""Queremos que sepas que no estás solo en esta lucha. Tu amor por tu perrita y su valentía nos inspiran a todos. 🐕❤️"""
Ayúdanos a salvar a REY;Tempsoft;21;2023-08-26;"""El amor y el apoyo que tienes a tu alrededor son un reflejo de la persona increíble que eres. Mantente fuerte, Rey. El mundo te necesita. 🌍❤️"""
Proyecto de Cocina Gian;Tempsoft;1000;2023-08-28;"""En 'El Fogón Caribeño', no solo estarás sirviendo comida, sino también compartiendo un pedacito de tu corazón y cultura. ¡Que este restaurante sea un éxito rotundo y un lugar de encuentro para todos los amantes de la buena comida!"""
Una oportunidad de vida;Tempsoft;30;2023-07-28;"""A pesar de los desafíos, tu espíritu y determinación son inquebrantables. Eres una luchadora increíble, Marisol. ¡Nunca te rindas!"""
Ayuda a Nico para realizar el circuito Mundial WSL;Tin;3000;2023-08-10;"""El surf es más que un deporte, es una forma de vida. Sigue viviendo tu pasión en el WSL, Nico."""
Todos por Eneko;Tin;37;2023-08-22;"""Cada tratamiento te acerca más al día en que superarás el linfoma de Burkitt. Mantén la determinación y la esperanza, Eneko."""
Worth a Haven Primary School;Tin;74;2023-07-29;"""Leyre, tu trabajo es un recordatorio de que la educación es un derecho fundamental. Estamos orgullosos de apoyarte en esta noble causa."""
Ayuda a Nico para realizar el circuito Mundial WSL;Toughjoyfax;87;2023-07-11;"""El surf es tu arte y el WSL tu lienzo. ¡Pinta olas épicas y deja una impresión duradera, Nico!"""
Ayuda a Nico para realizar el circuito Mundial WSL;Toughjoyfax;95;2023-08-29;"""En el WSL, estás rodeado de personas que comparten tu pasión. ¡Disfruta cada momento y hazlo memorable, Nico!"""
Ayuda para niños y adultos con TDAH;Toughjoyfax;75;2023-07-30;"""No estás solo en esto. Hay profesionales y comunidades de apoyo dispuestos a ayudarte a desarrollar estrategias efectivas para gestionar el TDAH. Juntos, podemos superar los desafíos."""
Todos por Eneko;Toughjoyfax;63;2023-08-28;"""No pierdas de vista tus sueños y metas, Eneko. La recuperación está en el horizonte y estamos emocionados por verte recuperado."""
Ascenso a Nacional Ok Bronce;Transcof;53;2023-08-30;"""El Nacional Ok Bronce es el escenario perfecto para mostrar su talento y determinación. ¡Vamos, hagan que cada partido cuente!"""
Ayuda a Luna, mi hija perruna, con su glaucoma;Treeflex;39;2023-07-30;"""Sabemos que el glaucoma es un desafío, pero también sabemos que eres una perrita fuerte y resiliente. ¡Mantén esa cola en alto, Luna!"""
Ayuda para cuidar a Ricardo;Treeflex;30;2023-07-09;"""Nico, has demostrado que el amor y el cuidado de un hijo pueden superar cualquier obstáculo. Eres un ejemplo para todos nosotros."""
